Size,Iteration,M parameter,Hash Function,Memory Usage (Peak Bytes),Insertion CPU Time (s),Total Insertion Steps,Load Factor,Total Collisions,Max Bucket Size,Min Bucket Size (non-empty),Empty Buckets,Std Dev of Bucket Lengths,Search CPU Time (s),Average Search Steps
1000000,0,1000,modulo,152608600,183.97999999999942,501956984,1000.0,999000,1124,910,0,30.231903678068306,0.049999999999272404,504.740234375
1000000,0,1000,folding,152496608,936.3000000000004,2054982974,1000.0,999616,5702,1,616,1762.6587724230687,0.2000000000007276,2078.755859375
1000000,0,1000,golden_ratio,152622880,184.82000000000087,501925725,1000.0,999000,1100,916,0,29.17961617293826,0.049999999999272404,494.48046875
1000000,0,5000,modulo,152858524,24.769999999999563,101933337,200.0,995000,252,155,0,13.165667472635027,0.010000000002037268,101.494140625
1000000,0,5000,folding,152753632,933.8300000000008,2054982974,200.0,999616,5702,1,4616,883.9644730417621,0.18999999999869033,1975.546875
1000000,0,5000,golden_ratio,152865540,25.000000000001165,101949433,200.0,995000,256,157,0,13.40795286387896,0.00999999999839929,98.6640625
1000000,1,100,modulo,152446464,2371.74,5001925461,10000.0,999900,10257,9706,0,92.24543349131164,0.47000000000116415,4965.3515625
1000000,1,100,folding,152446464,2363.3000000000006,5002009727,10000.0,999900,10179,9714,0,100.96801473734145,0.43000000000029104,4723.5
1000000,1,100,golden_ratio,152446536,2362.7999999999997,5001982169,10000.0,999900,10283,9718,0,98.20071282837003,0.4500000000007276,4887.748046875
1000000,1,1000,modulo,152608600,182.73000000000147,501956984,1000.0,999000,1124,910,0,30.231903678068306,0.040000000000873115,486.341796875
1000000,1,1000,folding,152496608,936.2400000000007,2054982974,1000.0,999616,5702,1,616,1762.6587724230687,0.1900000000023283,2037.51953125
1000000,1,1000,golden_ratio,152622880,184.8799999999984,501925725,1000.0,999000,1100,916,0,29.17961617293826,0.059999999997671694,521.51953125
1000000,1,5000,modulo,152858524,24.47000000000029,101933337,200.0,995000,252,155,0,13.165667472635027,0.00999999999839929,101.1484375
1000000,1,5000,folding,152753632,939.4899999999999,2054982974,200.0,999616,5702,1,4616,883.9644730417621,0.2000000000007276,2108.603515625
1000000,1,5000,golden_ratio,152865540,25.569999999997236,101949433,200.0,995000,256,157,0,13.40795286387896,0.010000000002037268,99.025390625
1000000,2,100,modulo,152446464,2358.5799999999995,5001925461,10000.0,999900,10257,9706,0,92.24543349131164,0.46000000000276486,5015.47265625
1000000,2,100,folding,152446464,2361.529999999999,5002009727,10000.0,999900,10179,9714,0,100.96801473734145,0.47000000000116415,5099.771484375
1000000,2,100,golden_ratio,152446536,2364.2400000000016,5001982169,10000.0,999900,10283,9718,0,98.20071282837003,0.4599999999991269,5063.916015625
1000000,2,1000,modulo,152608600,182.88000000000088,501956984,1000.0,999000,1124,910,0,30.231903678068306,0.049999999995634425,503.275390625
1000000,2,1000,folding,152496608,931.790000000002,2054982974,1000.0,999616,5702,1,616,1762.6587724230687,0.1900000000023283,2026.59375
1000000,2,1000,golden_ratio,152622880,185.0600000000061,501925725,1000.0,999000,1100,916,0,29.17961617293826,0.05000000000291038,478.9140625
1000000,2,5000,modulo,152858524,24.66999999999738,101933337,200.0,995000,252,155,0,13.165667472635027,0.010000000002037268,106.455078125
1000000,2,5000,folding,152753632,950.9900000000023,2054982974,200.0,999616,5702,1,4616,883.9644730417621,0.2400000000052387,2156.2734375
1000000,2,5000,golden_ratio,152865540,27.22000000000233,101949433,200.0,995000,256,157,0,13.40795286387896,0.010000000002037268,101.06640625
